AutorIn;Titel;Untertitel;Verlag;Mitwirkende;Preis;Erscheinungsjahr;ISBN;Altersempfehlung;Inhaltsbeschreibung;Informationen;Einband;Seitenzahl;Abmessungen;Cover;"Cover DNB";"Cover KNV"
"Metselaar, Menno; Van Ledden, Piet";"Alles über Anne";"Das Leben der Anne Frank";Carlsen;"Illustration: Scarry, Huck";"6,99 €";2019;978-3-551-31756-8;"von 10 bis 99 Jahren";"Am 6. Juli 1942 macht sich Anne Frank mit ihren Eltern auf in das Versteck im Hinterhaus der Prinsengracht 263, um sich hier vor den Nationalsozialisten zu verbergen. Damals war sie gerade 13 Jahre alt. Zahlreiche Fotos von Anne, ihren Eltern und ihren Freundinnen, zeitgenössische Dokumente wie Zeitungsberichte, Pässe, Plakate, ein leicht zugänglicher Text und viele begleitende Illustrationen erzählen von Annes Leben und ihrem Tod. Ergänzend werden viele Sachinformationen zum Nationalsozialismus vermittelt.";;kartoniert;80;;alles-ueber-anne.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-31756-8;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75259075&kennwort=QFINRGIMODPKSC&variante=zoom&rang=01
"Muser, Martin";"Kannawoniwasein - Manchmal fliegt einem alles um die Ohren";;Carlsen;;"12,00 €";2019;978-3-551-55387-4;"von 10 bis 14 Jahren";"Jola hat Finn in die Sommerferien eingeladen, nach Polen, zu ihren Großeltern aufs Land. Hier warten wieder einmal jede Menge Abenteuer auf die zwei: Mit einem selbstgebauten Floß geht es auf große Fahrt, zusammen mit dem Jungen Antek und seinem dreibeinigen Hund. Dann müssen Finn und Jola noch ganz nebenbei herausfinden, ob Jolas Onkel wirklich eine Leiche im Schuppen versteckt hat und wie man einen Stier mit einem Cabrio fängt. Und am Ende gibt es eine krachende Silvesterfeier - mitten im Sommer.";;gebunden;176;;kannawoniwasein-manchmal-fliegt-einem-alles-um-die-ohren.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-55387-4;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75260651&kennwort=HILPQDEITNEDJL&variante=zoom&rang=01
"Muser, Martin";"Ein Fall für das Tandem - Das rote Känguru";"Rätselkrimi. Detektivgeschichte mit Wimmel-, Such- und Denkrätseln zum Knobeln und Lösen des Falls";Carlsen;"Illustration: Schulz, Tine";"5,99 €";2019;978-3-551-31812-1;"von 9 bis 14 Jahren";"Elisa Klapp ist Kriminalkommissarin. Anton Stuhl ist Kriminaltechniker. Gemeinsam sind sie: DAS TANDEM. Nicht nur, weil sie ein Spitzen-Team sind, sondern auch, weil ihr Dienstfahrzeug das einzige Polizei-Tandem in ganz Deutschland ist. Pfeilschnell, umweltfreundlich und technisch voll auf Zack. Gemeinsam mit ihrem Polizeispürhund Mops lösen Elisa und Anton die kniffligsten Kriminalfälle. Als aus dem Museum eine wagenradgroße australische Münze auf rätselhafte Weise verschwindet, sind die drei natürlich gleich zur Stelle. Kniffliger Rätselspaß, ideal für die Ferien!";;kartoniert;144;;ein-fall-fuer-das-tandem-das-rote-kaenguru.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-31812-1;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75260084&kennwort=LLMQLFMLRDHKOP&variante=zoom&rang=01
"Pantermüller, Alice";"Mein Lotta-Leben - Wer den Wal hat";;Arena;"Illustration: Kohl, Daniela";"9,99 €";2019;978-3-401-60334-6;"ab 9 Jahren";"Oh Mann! Eigentlich hatte Lottas Geburtstag ja ziemlich gut angefangen. Ganz feierlich und mit jeder Menge Geschenke. Aber dann ist doch wieder was schiefgegangen. Statt ihres Lieblingshunds Anton haben ihr Mama und Papa eine Sprachreise auf eine englische Insel geschenkt: English & Adventure! Das Programm hört sich irgendwie spannend und wild an, aber was soll Lotta denn alleine auf einer Insel, wo alle nur Englisch reden? Wenn doch nur Cheyenne mitkommen würde ...";"Mit runden Ecken.";gebunden;160;"13,6cm x 21,1cm";mein-lotta-leben-wer-den-wal-hat.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-401-60334-6;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73138027&kennwort=KJNOCNHONDFJMQ&variante=zoom&rang=01
"Rowling, J. K.";"Die Märchen von Beedle dem Barden, Schmuckausgabe";"Mit einem Kommentar von Albus Dumbledore";Carlsen;"Übersetzung: Fritz, Klaus. Illustration: Zwerger, Lisbeth";"30,00 €";2018;978-3-551-55710-0;"von 10 bis 99 Jahren";"Die Märchen von Beedle dem Barden versammeln fünf fantasievolle Geschichten voller Abenteuer, Arglist, Herzweh und natürlich voller Magie. Für die magische Gemeinschaft sind sie ebenso wichtig wie die Märchen der Gebrüder Grimm für die Muggelwelt.. Diese opulent illustrierte Ausgabe wurde von Hermine Granger aus den ursprünglichen Runen übertragen und mit einem Kommentar von Albus Dumbledore versehen. Und jetzt hat Lisbeth Zwerger, ausgezeichnet mit dem Hans Christian Andersen Preis, diese Märchen für heutige Leser wunderschön und zart (und mit einem Augenzwinkern) neu interpretiert. Ergänzt durch eine Einleitung und Fußnoten von J.K. Rowling wird diese Zusammenstellung Muggel und Zauberer gleichermaßen begeistern und erfreuen.";"Mit farbigen Illustrationen.";gebunden;160;"25,8cm x 29,8cm";die-maerchen-von-beedle-dem-barden-schmuckausgabe.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-55710-0;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73019706&kennwort=PPHHORGKPQFHMY&variante=zoom&rang=01
"Tienti, Benjamin";"Unterwegs mit Kaninchen";;"Dressler Verlag GmbH";"Illustration: Kuhl, Anke";"13,00 €";2019;978-3-7915-0102-4;"ab 10 Jahren";"Dieser Roadtrip geht direkt ins Herz.Andrea lebt mit Kaninchen Maikel bei seinem Vater. Bei den dreien herrscht zwar gelegentlich Chaos, aber im Großen und Ganzen kommen sie klar. Bis Fidaa mit ihrer Mutter bei ihnen einzieht. Und Fidaa aus Versehen Maikel fallen lässt. Und Maikel eingeschläfert werden soll. Und Andrea deswegen in einer Nacht- und Nebelaktion nach Süddeutschland aufbricht. Zu seiner Mutter. Mit Maikel in einer Kühlbox. UndFidaa auf den Fersen.""Unterwegs mit Kaninchen"" von Benjamin Tienti ist eine warmherzige, lustige und authentische Geschichte für Kinder ab zehn Jahren.";;gebunden;208;"14,6cm x 21,5cm";unterwegs-mit-kaninchen.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-7915-0102-4;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73419613&kennwort=OXCKKREJNSEIKP&variante=zoom&rang=01
"Bach, Tamara";"Wörter mit L";;Carlsen;;"11,00 €";2019;978-3-551-55386-7;"von 11 bis 15 Jahren";"Auf einmal sind alle verliebt. Paulines beste Freundin Natascha und die blöde Leonie auch. Angeblich sogar Paulines Mutter. Aber das kann Pauline sich nun wirklich nicht vorstellen. Trotzdem benehmen sich plötzlich alle so komisch und streiten sich um nichts und wieder nichts, fast als würden sie nicht mehr dieselbe Sprache sprechen. Aber zum Glück sind da Lukas und sein dreibeiniger Hund. Vielleicht wissen die noch, wie man einfach nur einen Schneemann baut.. Ein Buch zum Sich-drin-wiederfinden - ein lupenreines Lieblingsbuch!";;gebunden;176;"15,2cm x 21cm";woerter-mit-l.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-55386-7;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75262422&kennwort=MMBNIQAHKPDIKO&variante=zoom&rang=01
"Beauvais, Clémentine";"Die Königinnen der Würstchen";;Carlsen;"Übersetzung: Weppen, Annette von der";"7,99 €";2019;978-3-551-31798-8;"von 14 bis 99 Jahren";"Mireille, Astrid und Hakima sind auf Facebook von ihren Mitschülern zur Wurst des Jahres in Gold, Silber und Bronze gewählt worden - der Preis für die hässlichsten Mädchen. Doch die drei beschließen sich nicht unterkriegen zu lassen. Zusammen planen sie einen Road-Trip per Fahrrad nach Paris. Ziel: die große Party im Elysée-Palast am Nationalfeiertag. Finanzierung: Unterwegsverkauf von Würstchen. Ein chaotische, lustige und herzzerreißende Reise beginnt. Und auf der Party hat jede der drei ein ganz eigenes Anliegen .... Ausgezeichnet mit dem LUCHS und nominiert für den Buxtehuder Bullen und den Prix des lycéens allemands 2017";;kartoniert;288;;die-koeniginnen-der-wuerstchen.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-31798-8;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75259701&kennwort=JLMQLFMLRDHKOQ&variante=zoom&rang=01
"Clima, Gabriele";"Der Sonne nach";;Hanser;"Übersetzung: Neeb, Barbara; Schmidt, Katharina";"14,00 €";2019;978-3-446-26260-7;"ab 12 Jahren";"Dario ist 16 und voller Wut. Einer, dem alles egal ist, vor allem, seitdem der Vater die Familie verlassen hat. Nachdem Dario in der Schule randaliert hat, wird er zu gemeinnütziger Arbeit verdonnert. Er soll sich um Andy kümmern, der im Rollstuhl sitzt und sich kaum mitteilen kann. Dario hat seine eigenen Vorstellungen von Fürsorge und nimmt Andy kurzerhand mit auf die Suche nach seinem Vater. Es wird eine abenteuerliche Reise, immer der Sonne nach ans Meer. Dario lernt Andys feine Signale zu lesen und diesen ""Halbidioten im Rolli"" mit anderen Augen zu sehen. Vor allem aber erkennt er, dass nicht die anderen für seine Wut verantwortlich sind. Er hat durchaus die Wahl, welchen Weg er gehen will.";;kartoniert;192;"14,1cm x 21,6cm";der-sonne-nach.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-446-26260-7;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73544493&kennwort=TKQEILBOKTEMQG&variante=zoom&rang=01
"Lewis, Gill";"Gorilla in Gefahr";;DTV;"Übersetzung: Seuß, Siggi";"14,95 €";2019;978-3-423-76237-3;"ab 11 Jahren";"Ein neues spannendes Tierabenteuer aus der Feder von Gill Lewis. Seit sie aus ihrem Dorf entführt und im Gesicht schwer verletzt wurde, lebt die 15-jährige Imara im Kongo bei einer Truppe von Rebellen. Genau wie der Anführer der Rebellen, Black Mamba, ist auch Imara selbst davon überzeugt, dass ein Dämon in sie hineingeschlüpft ist. Dieser Dämon spricht mir ihr und gibt ihr Anweisungen. Er sorgt dafür, dass sie überlebt und dass sie von Black Mamba als eine Art Beraterin gehört wird. Doch als die Rebellen ein Gorillajunges stehlen, um es zu verkaufen, wird Imara so etwas wie dessen Ersatzmutter. Und damit ändert sich alles, denn durch die enge Bindung an das Tier erwacht Imaras früheres Ich und sie will sich mit ihrem Schicksal als Dienerin der Rebellen nicht länger abfinden.";;gebunden;320;;gorilla-in-gefahr.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-423-76237-3;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74865510&kennwort=NPHHORGKPSFHMY&variante=zoom&rang=01
"Reinhardt, Dirk";"Über die Berge und über das Meer";Roman;"Gerstenberg Verlag";;"14,95 €";2019;978-3-8369-5676-5;"ab 12 Jahren";"Jedes Jahr im Frühling kommen die Nomaden auf dem Weg zu ihrem Sommerlager in den afghanischen Bergen in Sorayas Dorf vorbei. Mit ihnen kommt Tarek, der so wunderbare Geschichten zu erzählen weiß. Doch dieses Jahr wartet Soraya vergeblich auf ihn. Als siebte Tochter ist sie einem alten Brauch zufolge als Junge aufgewachsen, konnte sich frei bewegen und zur Schule gehen. Mit vierzehn Jahren hat sie jedoch das Alter erreicht, wo sie schon längst wieder als Mädchen leben sollte, in der Stille des Hauses. Die Taliban drängen unmissverständlich darauf. Auch Tarek haben sie bedroht. Sie erwarten, dass der erfahrene Spurenleser für sie arbeitet. Tarek und Soraya sehen keinen anderen Ausweg: Unabhängig voneinander machen sie sich auf in die Fremde. In den Bergen treffen sie unverho aufeinander.Ein atmosphärischer Roman von Abschied und Aufbruch, poetisch und packend zugleich.";;gebunden;272;"14,1cm x 22,1cm";ueber-die-berge-und-ueber-das-meer.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-8369-5676-5;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74901502&kennwort=LLNPAEPJQPFHLO&variante=zoom&rang=01
"Reynolds, Jason";Sunny;"Der Sound der Welt";DTV;"Übersetzung: Hansen-Schmidt, Anja";"14,95 €";2019;978-3-423-64046-6;"ab 12 Jahren";"Rhythm is it!. Schon lange vor seiner Geburt war klar: Sunny würde Sunny heißen, denn er sollte ein fröhliches Kind werden. Und tatsächlich ist aus Sunny ein Jugendlicher mit sonnigem Gemüt geworden, der immer ein gutes Wort für seine Mannschaftskameraden übrig hat. Gleichzeitig kam alles ganz anders im Leben von Sunny, als seine Eltern das geplant hatten. Denn bei seiner Geburt stirbt die Mutter. Der Vater kommt nie über den Schmerz hinweg. Sunny wächst in einem reichen Haushalt auf, aber wirkliche Wärme lernt er nicht kennen. Sein Vater ist es auch, der ihn beim Lauftraining anmeldet. Langstreckenläufer zu sein, so glaubt er, sei Sunny seiner toten Mutter schuldig, die unzählige Marathonläufe gewonnen hat. In ihre Fußstapfen soll er später treten. Aber Sunny liebt Musik, Tanz und Rhythmus, Beats und Moves. Das Rennen hasst er. Tanzen ist sein Traum, und es ist die Zeit gekommen, das auch seinem übermächtigen Vater zu zeigen.";;gebunden;192;"14,5cm x 21,7cm";sunny.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-423-64046-6;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74865232&kennwort=MXCKKREJNSFIKP&variante=zoom&rang=01
"Riordan, Rick";"Apollo - Das brennende Labyrinth";;Carlsen;"Übersetzung: Haefs, Gabriele";"18,99 €";2019;978-3-551-55690-5;"von 12 bis 99 Jahren";"Lester Papadopoulos, auch bekannt als ehemaliger Gott Apollo, hat kaum Zeit zum Durchatmen, da steckt er schon wieder bis zum Hals im nächsten Abenteuer: Er muss hinunter in das magische Labyrinth des Dädalus und dort ein weiteres uraltes Orakel suchen. Zum Glück hat er seine Freundin Meg und den unerschrockenen Satyr Grover an seiner Seite. Zusammen müssen sie nicht nur vertrackte Worträtsel lösen, sondern sich auch weit größeren - und heißeren - Gefahren stellen .... Alle Bände der Apollo-Serie:Die Abenteuer des Apollo - Das verborgene Orakel (Band 1)Die Abenteuer des Apollo - Die dunkle Prophezeiung (Band 2)Die Abenteuer des Apollo - Das brennende Labyrinth (Band 3)Zwei weitere Bände folgen";;gebunden;464;"15,8cm x 22,2cm";apollo-das-brennende-labyrinth.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-55690-5;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75259491&kennwort=VLQDJWCLMEIODJ&variante=zoom&rang=01
"Riordan, Rick";"Magnus Chase - Der Hammer des Thor";;Carlsen;"Übersetzung: Haefs, Gabriele";"14,99 €";2019;978-3-551-31795-7;"von 12 bis 99 Jahren";"Der Donnergott Thor hat mal wieder seinen Hammer verloren - die stärkste Waffe in allen Neun Welten! Und diesmal ist er zu allem Übel in Feindeshände geraten. Magnus und seine Freunde müssen den Hammer so schnell wie möglich zurückholen, denn ohne ihn ist die Welt der Sterblichen einem Angriff der Riesen wehrlos ausgeliefert. Der Weltuntergang Ragnarök droht! Als Verbündeten braucht Magnus ausgerechnet den gerissenen Gott Loki - doch der Preis für seine Hilfe ist hoch .... Alle Bände der Magnus-Chase-Serie:. Magnus Chase - Das Schwert des SommersMagnus Chase - Der Hammer des ThorMagnus Chase - Das Schiff der Toten";;kartoniert;512;;magnus-chase-der-hammer-des-thor.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-31795-7;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75259618&kennwort=XYFPBKPGMTHNBI&variante=zoom&rang=01
"Riordan, Rick";"Percy Jackson erzählt: Griechische Göttersagen / Percy Jackson erzählt: Griechische Heldensagen, 2 Bde.";;Carlsen;"Übersetzung: Haefs, Gabriele";"16,00 €";2019;978-3-551-31761-2;"von 12 bis 99 Jahren";"Wer könnte die griechischen Göttersagen besser nacherzählen als der Sohn des Poseidon höchstpersönlich? Percy Jackson haucht den alten Klassikern turbulentes Leben ein und gibt ganz neue Einblicke in den Alltag auf dem Olymp. Mit einem Augenzwinkern berichtet er unter anderem davon, wie Athene ein Taschentuch adoptiert, Persephone ihren Stalker heiratet und Zeus sie alle umbringt. Ein urkomisches Leseerlebnis für jeden, der Spaß an griechischer Mythologie hat - und für alle anderen garantiert auch!. Und das ist noch nicht alles:. Warum braucht Perseus eine Umarmung? Was hat Herkules angestellt? Und wer schlug Medusa den Kopf ab? Noch einmal öffnet Percy Jackson die Büchse der Pandora. Und dieses Mal bringt er die tragischen Ereignisse, ruhmreichen Taten und kühnen Abenteuer der griechischen Helden auf den Tisch. In bester Percy-Manier erzählt er urkomisch und kenntnisreich von Herkules, Orpheus und Co. und lässt dabei keine Frage unbeantwortet. Ein waghalsig-komisches Leseabenteuer!. Dieser Taschenbuchschuber enthält: ""Percy Jackson erzählt Griechische Göttersagen"" und ""Percy Jackson erzählt Griechische Heldensagen"".. Alle Bände der Percy-Jackson-Serie:Percy Jackson - Diebe im Olymp (Band 1)Percy Jackson - Im Bann des Zyklopen (Band 2)Percy Jackson - Der Fluch des Titanen (Band 3)Percy Jackson - Die Schlacht um das Labyrinth (Band 4)Percy Jackson - Die letzte Göttin (Band 5)Percy Jackson - Auf Monsterjagd mit den Geschwistern Kane (Sonderband). Percy Jackson erzählt: Griechische GöttersagenPercy Jackson erzählt: Griechische Heldensagen. Und dann geht es weiter mit den ""Helden des Olymp""!. ";"CMB, in einer Kassette.";kartoniert;1136;"12,6cm x 19,4cm";percy-jackson-erzaehlt-griechische-goettersagen-percy-jackson-erzaehlt-griechische-heldensagen-2-bde.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-31761-2;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=72978471&kennwort=BKQEILBOKTEMQG&variante=zoom&rang=01
"Rowell, Rainbow";Fangirl;;DTV;"Übersetzung: Jakobeit, Brigitte";"10,95 €";2019;978-3-423-62702-3;"ab 13 Jahren";"Jetzt im Taschenbuch!. Die Zwillinge Cath und Wren sind unzertrennlich, bis Wren beschließt, dass ihr Jungen und Partys wichtiger sind als das gemeinsame College-Zimmer. Ein harter Schlag für Cath, die sich immer weiter in ihre Traumwelt zurückzieht: Beim Lesen und Schreiben von Fanfiction lebt sie ihre Vorstellungen von Liebesbeziehungen aus. Mit Erfolg - Tausende Leser folgen ihr. Doch als Cath dann Nick und Levi näher kennenlernt, muss sie sich fragen, ob sie nicht langsam bereit ist, ihr Herz echten Menschen zu öffnen und über Erfahrungen zu schreiben, die größer sind als ihre Fantasien.";;kartoniert;464;;fangirl.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-423-62702-3;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74865140&kennwort=NOKFNNEHMQFILN&variante=zoom&rang=01
"Albertalli, Becky";"Ein Happy End ist erst der Anfang";;Carlsen;"Übersetzung: Herzke, Ingo";"18,00 €";2019;978-3-551-58399-4;"von 14 bis 99 Jahren";"Wenn Leah Schlagzeug spielt, kommt sie nicht so leicht aus dem Takt. Wäre das im echten Leben doch auch so! Aber manchmal fühlt Leah sich, als ob sie von außen auf ihr Leben schaut. Was wird wohl nach der Schulzeit kommen? Wird sie ihre Freunde überhaupt noch sehen? Dieser Gedanke jagt ihr Angst ein - vor allem, weil sie für eine ganz bestimmte Person weitaus mehr empfindet, als sie sich eingestehen will.. Die Fortsetzung des preisgekrönten Fanlieblings ""Nur drei Worte"", der mit dem Deutschen Jugendliteraturpreis ausgezeichnet wurde und auch im Kino als ""Love, Simon"" zu sehen war. Ob eingefleischter Fan oder Creekwood-Neuling - in Leah werden sich alle sofort verlieben!. ""Hat Becky Albertalli mich bespitzelt oder so? Weil Leah genauso ist wie ich. Hundertprozentig."". ""Dieses Buch hat mich RUINIERT. Ich habe geweint, gelacht, geschrien, meine Bettdecke gehauen und das Buch durchs Zimmer geschmissen. [...] Love love love love love love love.""(Leserstimmen auf Goodreads)";;gebunden;352;"15,6cm x 22,2cm";ein-happy-end-ist-erst-der-anfang.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-58399-4;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75260095&kennwort=LLMQLFMLRDHKOR&variante=zoom&rang=01
"Bach, Tamara";Vierzehn;"Nominiert für den Deutschen Jugendliteraturpreis 2017, Kategorie Jugendbuch und Kategorie Preis der Jugendlichen";Carlsen;;"5,99 €";2019;978-3-551-31818-3;"von 14 bis 99 Jahren";"Nominiert für den Deutschen Jugendliteraturpreis 2017! (Kritikerjury und Jugendjury). Der erste Schultag. Zwei Wochen vor den Sommerferien ist Beh krank geworden und konnte nicht mit den anderen in den Urlaub fahren. Als das neue Schuljahr anfängt, hat sie alle acht Wochen lang nicht gesehen. Viel ist passiert, ihre Freundinnen haben neue Leute kennengelernt und Geschichten zu erzählen. Beh dagegen war nur zu Hause. Aber eigentlich war da mehr, von dem ihre Freundinnen nichts wissen. Zu Hause liegt eine Postkarte für sie im Briefkasten, in der Stadt gibt es ein Zimmer mit blauen Wänden, da ist ein Hund, ein Mädchen mit Schwimmflügeln und lauter Orte, die Beh bis zum Abend noch fotografieren wird, weil ihnen etwas fehlt. Und als Beh am Ende des Tages ihre Zimmertür schließt, hat sie auch jemand bei ihrem vollen Namen genannt.";;kartoniert;112;;vierzehn.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-31818-3;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75262247&kennwort=SFINRGKMODPKSC&variante=zoom&rang=01
"Chee, Traci";"Die Schlacht um Wörter und Blut";;Carlsen;"Übersetzung: Hachmeister, Sylke";"18,99 €";2019;978-3-551-58356-7;"von 14 bis 99 Jahren";"Während um sie herum der Rote Krieg wütet, will Sefia nichts mehr, als Archer zu beschützen. Denn mit dem Brandmal an seinem Hals könnte er der Junge aus den Legenden sein - der Anführer einer riesigen, unaufhaltbaren Armee, der alle fünf Königreiche Kelannas erobert und das Ende des Krieges mit seinem Tod bezahlt. Doch als die Wache die Insel Oxzini einnimmt, müssen Archer und Sefia sich entscheiden, ob sie sich in die Schlacht stürzen oder tatenlos zusehen, wie ihre Welt in Stücke gerissen wird.. Das packende Finale der Fantasy-Trilogie, in der Realität und Fiktion miteinander verschmelzen.. Alle der Bände der meisterhaft erzählten Serie:Ein Meer aus Tinte und GoldEin Schatz aus Papier und MagieDie Schlacht um Wörter und Blut";;gebunden;576;;die-schlacht-um-woerter-und-blut.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-58356-7;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=69867133&kennwort=RKQFILBOKTEMQG&variante=zoom&rang=01
"Eschbach, Andreas";"Time Out";;Arena;;"9,99 €";2018;978-3-401-50869-6;"ab 14 Jahren";"Christopher und Serenity sind im Hide Out zum Nichtstun verdammt. Während die Kohärenz ihre Fäden immer dichter spinnt, verlieren sie jeden Mut. Als dann auch noch mit viel Werbeaufwand der Lifehook eingeführt wird - mit dem die Menschen fast ohne Aufwand gedanklich kommunizieren können - ahnt Christopher, dass die Kohärenz zum alles entscheidenden Schlag ausgeholt hat. Doch dann hat er eine Idee, wo die Schwachstelle des globalen Netzwerkes liegen könnte. Gemeinsam mit Serenity macht er sich auf, um das Unmögliche zu wagen.";;kartoniert;528;"12,2cm x 19cm";time-out.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-401-50869-6;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73509225&kennwort=IJNQRCGRLSBHJN&variante=zoom&rang=01
"Linke, Dorit";"Wir sehen uns im Westen";;Carlsen;;"4,99 €";2019;978-3-551-31841-1;"von 13 bis 18 Jahren";"Ostberlin im Frühjahr 1988: Nina und Lutz sind verliebt und verbringen so viel Zeit wie möglich miteinander. Sie wissen, dass es plötzlich zu Ende sein kann, denn Ninas Eltern haben einen Ausreiseantrag aus der DDR gestellt. Und tatsächlich muss Nina Ostberlin verlassen, ohne dass sie sich von Lutz verabschieden kann. Aber die beiden schreiben sich Briefe und glauben fest daran, dass sie sich im Westen wiedersehen. Und dann hört Lutz in der Nacht vom 9. November 1989, dass die Grenze offen ist und macht sich auf den Weg zu Nina.";;kartoniert;112;;wir-sehen-uns-im-westen.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-31841-1;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75262400&kennwort=MMNOCNHONDFJMQ&variante=zoom&rang=01
"Pettersen, Siri";"Die Rabenringe - Fäulnis";;"Arctis Verlag";"Übersetzung: Mißfeldt, Dagmar";"20,00 €";2019;978-3-03880-014-9;"ab 14 Jahren";"Das Schicksal der Welten liegt jetzt in Hirkas Händen.. Die fulminante Fortsetzung der Fantasy-Reihe 'Die Rabenringe': Band 2 'Fäulnis', der für den norwegischen Bokhandlerprisen nominiert war, handelt von Vorurteilen, Machtgier, Ängsten, Rache und Liebe.";;gebunden;544;"14,4cm x 22,4cm";die-rabenringe-faeulnis.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-03880-014-9;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=69624683&kennwort=XYFPBKPGMTINBI&variante=zoom&rang=01
